; Gadget version 2.2.00-BETA running on Marganchovy Wed Mar 11 19:52:48 2015
; Listing of the switches used in the current Gadget run
Linf	anchgrowergrowthcalcHmodelvariable	
kappa	anchgrowergrowthcalcHmodelvariable	
alpha	anchgrowergrowthcalcHmodelvariable	
beta	anchgrowergrowthcalcHmodelvariable	
bbeta	anchgrower	
rec88	anchrenewaldata	
rec89	anchrenewaldata	
rec90	anchrenewaldata	
rec91	anchrenewaldata	
rec92	anchrenewaldata	
rec93	anchrenewaldata	
rec94	anchrenewaldata	
rec95	anchrenewaldata	
rec96	anchrenewaldata	
rec97	anchrenewaldata	
rec98	anchrenewaldata	
rec99	anchrenewaldata	
rec00	anchrenewaldata	
rec01	anchrenewaldata	
rec02	anchrenewaldata	
constant	fleetseinepredatorseinesuitabilityforanchmodelvariable	
;
; Listing of the likelihood components used in the current Gadget run
;
; Component	Type	Weight
ldist.seine	3	780.64
understocking	2	1e+10
bounds	8	1e+10
;
; Listing of the output from the likelihood components for the current Gadget run
;
0	        19      0.074    2.65091   0.778925    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.05        0        0 		   10190.8012773512
1	        19      0.074    2.65091   0.778925    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.05        0        0 		   10190.8012778133
2	        19      0.074    2.65091   0.778925    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.05        0        0 		   10190.8012769412
3	        19      0.074    2.65091   0.778925    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.05        0        0 		   10190.8012776983
4	        19      0.074    2.97609   0.778925    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.05        0        0 		   10190.8012776983
5	        19      0.074    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.05        0        0 		   10190.8012776983
6	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090477504
7	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090484374
8	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090490516
9	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090457406
10	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090405508
11	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090529003
12	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		    10778.309048304
13	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090440626
14	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090468506
15	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090501477
16	        19  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.81        0        0 		   10778.3090445781
17	    19.601  0.0641218    2.97609    1.72045    891.528 2.76791e+07 4.8638e+07 5.17417e+07 8.29676e+06 4.23463e+07     325938 5.18003e+07 4.52229e+07 5.28568e+07     351573 3.94348e+07 5.70025e+07 3.9574e+07 2.3929e+07 2.94296e+07          1 		   13.38        0        0 		   10446.9605137306
