; Gadget version 2.2.00-BETA running on c6601 Sat Nov  4 21:12:30 2017
; a simulation run was performed giving a likelihood value of 0
switch	value		lower	upper	optimise
P189	  0.12742631	   -9999     9999        1
P190	 4.47961e-12	   -9999     9999        1
P191	  0.33696959	   -9999     9999        1
P192	 0.015175472	   -9999     9999        1
P193	  0.30481938	   -9999     9999        1
P194	  0.43416875	   -9999     9999        1
P195	  0.16117173	   -9999     9999        1
P196	 0.054941522	   -9999     9999        1
P197	   0.4482438	   -9999     9999        1
P198	0.00011560532	   -9999     9999        1
P199	  0.03431867	   -9999     9999        1
P100	1.1702932e-12	   -9999     9999        1
P101	  0.28414539	   -9999     9999        1
P102	 0.070276908	   -9999     9999        1
P103	  0.25660602	   -9999     9999        1
P104	 0.083829671	   -9999     9999        1
P105	3.5886168e-13	   -9999     9999        1
P106	  0.07062181	   -9999     9999        1
P107	  0.39789719	   -9999     9999        1
P108	0.0071949531	   -9999     9999        1
P109	 0.056493283	   -9999     9999        1
P110	 0.030171547	   -9999     9999        1
P111	0.0077778588	   -9999     9999        1
P112	 0.011150298	   -9999     9999        1
P113	8.4513715e-13	   -9999     9999        1
P114	  0.44773704	   -9999     9999        1
P214	  0.39153107	   -9999     9999        1
P315	  0.28892686	   -9999     9999        1
rec15	   329.11871	   -9999     9999        1
P415	2.6528856e-13	   -9999     9999        1
P115	8.8634482e-14	   -9999     9999        1
P215	1.2352656e-13	   -9999     9999        1
P316	 0.089409755	   -9999     9999        1
rec16	   666.16477	   -9999     9999        1
P416	2.1128541e-11	   -9999     9999        1
anch.rec.2017.3	           1	   -9999     9999        0
anch.rec.2018.3	           1	   -9999     9999        0
anch.rec.2019.3	           1	   -9999     9999        0
anch.rec.2020.3	           1	   -9999     9999        0
anch.rec.2021.3	           1	   -9999     9999        0
anch.rec.2022.3	           1	   -9999     9999        0
anch.rec.2023.3	           1	   -9999     9999        0
anch.rec.2024.3	           1	   -9999     9999        0
anch.rec.2025.3	           1	   -9999     9999        0
anch.rec.2026.3	           1	   -9999     9999        0
anch.rec.2027.3	           1	   -9999     9999        0
anch.rec.2028.3	           1	   -9999     9999        0
anch.rec.2029.3	           1	   -9999     9999        0
anch.rec.2030.3	           1	   -9999     9999        0
anch.rec.2031.3	           1	   -9999     9999        0
anch.rec.2032.3	           1	   -9999     9999        0
anch.rec.2033.3	           1	   -9999     9999        0
anch.rec.2034.3	           1	   -9999     9999        0
anch.rec.2035.3	           1	   -9999     9999        0
anch.rec.2036.3	           1	   -9999     9999        0
anch.rec.2037.3	           1	   -9999     9999        0
anch.rec.2038.3	           1	   -9999     9999        0
anch.rec.2039.3	           1	   -9999     9999        0
anch.rec.2040.3	           1	   -9999     9999        0
anch.rec.2041.3	           1	   -9999     9999        0
anch.rec.2042.3	           1	   -9999     9999        0
anch.rec.2043.3	           1	   -9999     9999        0
anch.rec.2044.3	           1	   -9999     9999        0
anch.rec.2045.3	           1	   -9999     9999        0
anch.rec.2046.3	           1	   -9999     9999        0
anch.rec.2047.3	           1	   -9999     9999        0
anch.rec.2048.3	           1	   -9999     9999        0
anch.rec.2049.3	           1	   -9999     9999        0
anch.rec.2050.3	           1	   -9999     9999        0
anch.rec.2051.3	           1	   -9999     9999        0
anch.rec.2052.3	           1	   -9999     9999        0
anch.rec.2053.3	           1	   -9999     9999        0
anch.rec.2054.3	           1	   -9999     9999        0
anch.rec.2055.3	           1	   -9999     9999        0
anch.rec.2056.3	           1	   -9999     9999        0
anch.rec.2057.3	           1	   -9999     9999        0
anch.rec.2058.3	           1	   -9999     9999        0
anch.rec.2059.3	           1	   -9999     9999        0
anch.rec.2060.3	           1	   -9999     9999        0
anch.rec.2061.3	           1	   -9999     9999        0
anch.rec.2062.3	           1	   -9999     9999        0
anch.rec.2063.3	           1	   -9999     9999        0
anch.rec.2064.3	           1	   -9999     9999        0
anch.rec.2065.3	           1	   -9999     9999        0
anch.rec.2066.3	           1	   -9999     9999        0
anch.rec.2067.3	           1	   -9999     9999        0
anch.rec.2068.3	           1	   -9999     9999        0
anch.rec.2069.3	           1	   -9999     9999        0
anch.rec.2070.3	           1	   -9999     9999        0
anch.rec.2071.3	           1	   -9999     9999        0
anch.rec.2072.3	           1	   -9999     9999        0
anch.rec.2073.3	           1	   -9999     9999        0
anch.rec.2074.3	           1	   -9999     9999        0
anch.rec.2075.3	           1	   -9999     9999        0
anch.rec.2076.3	           1	   -9999     9999        0
anch.rec.2077.3	           1	   -9999     9999        0
anch.rec.2078.3	           1	   -9999     9999        0
anch.rec.2079.3	           1	   -9999     9999        0
anch.rec.2080.3	           1	   -9999     9999        0
anch.rec.2081.3	           1	   -9999     9999        0
anch.rec.2082.3	           1	   -9999     9999        0
anch.rec.2083.3	           1	   -9999     9999        0
anch.rec.2084.3	           1	   -9999     9999        0
anch.rec.2085.3	           1	   -9999     9999        0
anch.rec.2086.3	           1	   -9999     9999        0
anch.rec.2087.3	           1	   -9999     9999        0
anch.rec.2088.3	           1	   -9999     9999        0
anch.rec.2089.3	           1	   -9999     9999        0
anch.rec.2090.3	           1	   -9999     9999        0
anch.rec.2091.3	           1	   -9999     9999        0
anch.rec.2092.3	           1	   -9999     9999        0
anch.rec.2093.3	           1	   -9999     9999        0
anch.rec.2094.3	           1	   -9999     9999        0
anch.rec.2095.3	           1	   -9999     9999        0
anch.rec.2096.3	           1	   -9999     9999        0
anch.rec.2097.3	           1	   -9999     9999        0
anch.rec.2098.3	           1	   -9999     9999        0
anch.rec.2099.3	           1	   -9999     9999        0
